index,51,53,54,55,56,57,58,59
D_0__Bacteria;D_1__Armatimonadetes;D_2__Armatimonadia;D_3__Armatimonadales;D_4__uncultured bacterium,5,0,0,0,0,6,8,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes;D_3__Chthonomonadales;D_4__Chthonomonadaceae,9,0,0,5,13,0,27,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Chthonomonadetes;D_3__Chthonomonadales;D_4__uncultured bacterium,0,0,4,0,0,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia;D_3__Fimbriimonadales;D_4__Fimbriimonadaceae,6,0,0,5,0,5,140,14
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured Armatimonadetes bacterium;D_4__uncultured Armatimonadetes bacterium,0,0,0,0,3,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured bacterium;D_4__uncultured bacterium,8,0,0,0,7,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured soil bacterium;D_4__uncultured soil bacterium,0,0,0,0,1,0,0,0
D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;__;__,5,3,0,0,13,0,0,0
D_0__Bacteria;D_1__BJ-169;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium,8,20,0,0,0,0,0,2
D_0__Bacteria;D_1__BRC1;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa,3,5,0,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes Incertae Sedis;D_3__Order II;D_4__Rhodothermaceae,0,0,0,0,0,0,3,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes VC2.1 Bac22;D_3__uncultured bacterium;D_4__uncultured bacterium,9,0,0,5,0,0,10,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidetes vadinHA17;__;__,0,0,1,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Cytophagia;D_3__Cytophagales;D_4__Cyclobacteriaceae,0,5,0,0,0,30,13,5
D_0__Bacteria;D_1__Bacteroidetes;D_2__Cytophagia;D_3__Cytophagales;D_4__Cytophagaceae,633,1107,883,558,300,1675,728,834
D_0__Bacteria;D_1__Bacteroidetes;D_2__Cytophagia;D_3__Cytophagales;D_4__Flammeovirgaceae,4,0,0,0,0,1,0,0
